sep=,
HRV ANALYSIS RESULTS - 07-Jun-2024 17:47:53
Kubios HRV Scientific
4.1.1
released in April 2024

Analyzed by:  -  - 

File name: C:\Users\admin\Documents\gits\kubios\to be analyzed\HI001_00_record_full.csv
Measurement date:  00:00:00
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:30:52 (h:min:s)
Measurement rate: 64 Hz

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:00:00-00:30:52,
  Sample Analysis Type: Single sample
  Beat correction: none
  Beats total:                ,    1.92e+03,
  Beats corrected:            ,           -,
  Beats corrected (%):        ,           -,
  Effective data length (s):  ,        1852,
  Effective data length (%):  ,      100.00,


RESULTS FOR A SINGLE SAMPLE
STANDARD RESULTS

Results Overview              ,
  PNS index:                  ,     20.1567,            ,
  SNS index:                  ,     -1.7333,            ,
  Stress index:               ,      0.7270,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    962.4037,            ,
  SDNN (ms):                  ,    580.2002,            ,
  Mean HR (beats/min):        ,     62.3439,            ,
  SD HR (beats/min):          ,   4018.6287,            ,
  Min HR (beats/min):         ,     16.2127,            ,
  Max HR (beats/min):         ,    242.3263,            ,
  RMSSD (ms):                 ,    783.0012,            ,
  NNxx (beats):               ,        1443,            ,
  pNNxx (%):                  ,     75.1171,            ,
  SDANN (ms):                 ,    112.6894,            ,
  SDNN index (ms):            ,    623.6527,            ,
 Geometric parameters         ,
  RR tri index:               ,   64.066667,            ,
  TINN (ms):                  ,   5967.0000,            ,
  DC (ms):                    ,    234.0126,            ,
  DCmod (ms):                 ,    598.4560,            ,
  AC (ms):                    ,   -236.1840,            ,
  ACmod (ms):                 ,   -601.0639,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.040000,    0.040000,
  LF (Hz):                    ,    0.040000,    0.090000,
  HF (Hz):                    ,    0.153333,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,  64834.4050,  67053.3081,
  LF (ms^2):                  , 288346.6095, 255896.0533,
  HF (ms^2):                  , 152493.4839, 145387.3552,
  VLF (log):                  ,     11.0796,     11.1132,
  LF (log):                   ,     12.5719,     12.4525,
  HF (log):                   ,     11.9349,     11.8872,
 Relative powers              ,
  VLF (%):                    ,     12.8167,     14.3121,
  LF (%):                     ,     57.0012,     54.6193,
  HF (%):                     ,     30.1454,     31.0320,
 Normalized powers            ,
  LF (n.u.):                  ,     65.3809,     63.7421,
  HF (n.u.):                  ,     34.5770,     36.2151,
 Total power (ms^2):          , 505860.3466, 468508.3843,
 LF/HF ratio:                 ,      1.8909,      1.7601,
 RESP (Hz):                   ,    0.165986,            ,

Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,  553.809700,            ,
  SD2 (ms):                   ,  605.393601,            ,
  SD2/SD1 ratio:              ,    1.093144,            ,
 Approximate entropy (ApEn):  ,      1.2716,            ,
 Sample entropy (SampEn):     ,      1.0931,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.7053,            ,
  alpha 2:                    ,      0.5784,            ,
 Correlation dimension (D2):  ,      0.0206,            ,
 Recurrence plot analysis (RPA),
  Mean line length (beats):   ,     17.8042,            ,
  Max line length (beats):    ,         143,            ,
  Recurrence rate (REC) (%):  ,     50.2244,            ,
  Determinism (DET) (%):      ,     99.0118,            ,
  Shannon entropy:            ,      3.7388,            ,
 Multiscale entropy (MSE for scales 1-20),
  MSE(1):                     ,      1.0931,            ,
  MSE(2):                     ,      1.0870,            ,
  MSE(3):                     ,      0.9807,            ,
  MSE(4):                     ,      0.9416,            ,
  MSE(5):                     ,      0.7308,            ,
  MSE(6):                     ,      0.6662,            ,
  MSE(7):                     ,      0.5682,            ,
  MSE(8):                     ,      0.5334,            ,
  MSE(9):                     ,      0.4784,            ,
  MSE(10):                    ,      0.4722,            ,
  MSE(11):                    ,      0.4914,            ,
  MSE(12):                    ,      0.4345,            ,
  MSE(13):                    ,      0.4848,            ,
  MSE(14):                    ,      0.5052,            ,
  MSE(15):                    ,      0.4817,            ,
  MSE(16):                    ,      0.5374,            ,
  MSE(17):                    ,      0.5176,            ,
  MSE(18):                    ,      0.5420,            ,
  MSE(19):                    ,      0.5306,            ,
  MSE(20):                    ,      0.5368,            ,


ECG WAVEFORM RESULTS          ,
Number of beats               ,           0,            ,
  Mean RRsel ()               ,         NaN,            ,
  P-wave duration ()          ,         NaN,            ,
  PQ-interval ()              ,         NaN,            ,
  QRS-duration ()             ,         NaN,            ,
  QT-time ()                  ,         NaN,            ,
  QTc-time ()                 ,         NaN,            ,
  P-wave amplitude ()         ,         NaN,            ,
  Q-wave amplitude ()         ,         NaN,            ,
  R-wave amplitude ()         ,         NaN,            ,
  S-wave amplitude ()         ,         NaN,            ,
  T-wave amplitude ()         ,         NaN,            ,

TIME-VARYING RESULTS          ,
                              ,  WHOLE DATA,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,            ,            ,            ,            ,            ,            ,    Overview,            ,            ,            ,            ,            ,            ,            , Time-Domain,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            , Freq-Domain,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,   Nonlinear,            ,            ,            ,            ,            ,            ,
                              ,        Time, Beats total,Beats corrected,Beats corrected,Effective data length,Effective data length,   PNS index,   SNS index,Stress index, EE activity, EE activity,   Intensity,        Load,         VO2,     Mean RR,        SDNN,     Mean HR,       SD HR,      Min HR,      Max HR,       RMSSD,        NNxx,       pNNxx,       HRVti,        TINN,          DC,       DCmod,          AC,       ACmod,    VLF peak,     LF peak,     HF peak,   VLF power,    LF power,    HF power,   VLF power,    LF power,    HF power,   VLF power,    LF power,    HF power,    LF power,    HF power, LF/HF ratio,        RESP,         SD1,         SD2,     SD2/SD1,        ApEn,      SampEn,      DFA a1,      DFA a2,
                              ,  (hh:mm:ss),     (count),     (count),         (%),       (sec),         (%),            ,            ,            ,  (kcal/min),      (kcal), (TRIMP/min),     (TRIMP),     (l/min),        (ms),        (ms),     (1/min),     (1/min),     (1/min),     (1/min),        (ms),     (count),         (%),            ,        (ms),        (ms),        (ms),        (ms),        (ms),        (Hz),        (Hz),        (Hz),      (ms^2),      (ms^2),      (ms^2),       (log),       (log),       (log),         (%),         (%),         (%),      (n.u.),      (n.u.),            ,        (Hz),        (ms),        (ms),            ,            ,            ,            ,            ,
                              ,    00:02:30,         297,           0,      0.0000,         300,    100.0000,     17.8610,     -1.8914,      1.1337,      1.6727,      1.6727,      0.0333,      0.0333,      0.2949,   1005.7508,    471.4107,     59.6569,    127.7757,     27.1592,    105.7828,    688.1485,         254,     85.8108,     42.4286,   3190.0000,    183.2492,    559.7172,   -219.5674,   -580.0044,    0.030000,    0.086667,    0.233333,   1601.0317,  41965.3000,  65452.9971,      7.3784,     10.6446,     11.0891,      1.3714,     35.9465,     56.0654,     36.4463,     56.8450,      0.6412,      0.1455,    487.4367,    450.6609,      0.9246,      1.1304,      1.5062,      0.6108,      0.3500,
                              ,    00:03:30,         292,           0,      0.0000,         300,    100.0000,     17.7393,     -1.9384,      1.2675,      2.3758,      4.0485,      0.0687,      0.1020,      0.4120,   1024.6027,    464.5330,     58.5593,    229.2370,     23.3028,    105.7828,    680.5848,         252,     86.5979,     48.6667,   2682.0000,    224.6685,    588.7722,   -229.8038,   -585.6884,    0.033333,    0.086667,    0.210000,   2933.0215,  68908.0912,  95553.1080,      7.9838,     11.1405,     11.4674,      1.7135,     40.2566,     55.8227,     40.9584,     56.7959,      0.7211,      0.1538,    482.0752,    447.7050,      0.9287,      1.1176,      1.5837,      0.5742,      0.1140,
                              ,    00:04:30,         290,           0,      0.0000,         300,    100.0000,     18.0077,     -1.9928,      1.1139,      0.0000,      4.0485,      0.0000,      0.1020,      0.1651,   1033.7241,    471.8163,     58.0426,    257.1557,     23.3028,    105.7828,    689.2216,         248,     85.8131,     41.4286,   2701.0000,    227.8351,    609.3164,   -247.5034,   -593.8816,    0.033333,    0.103333,    0.160000,  15342.1335, 176816.4265, 159248.9943,      9.6384,     12.0829,     11.9782,      4.4412,     51.1843,     46.0990,     53.5632,     48.2415,      1.1103,      0.1553,    488.1996,    456.1635,      0.9344,      1.1027,      1.5095,      0.5975,      0.3402,
                              ,    00:05:30,         290,           0,      0.0000,         300,    100.0000,     20.7849,     -1.9988,      1.0533,      0.0000,      4.0485,      0.0000,      0.1020,      0.1651,   1038.5103,    560.2285,     57.7751,    381.0762,     18.1774,    105.7828,    793.2002,         237,     82.0069,     36.2500,   3486.0000,    256.8608,    657.3603,   -275.4506,   -644.3847,    0.033333,    0.103333,    0.160000,  25418.4050, 231919.3234, 166627.1159,     10.1432,     12.3541,     12.0235,      6.0668,     55.3538,     39.7700,     58.9289,     42.3386,      1.3918,      0.1459,    561.8513,    560.1907,      0.9970,      0.9908,      1.0886,      0.7028,      0.3414,
                              ,    00:06:30,         282,           0,      0.0000,         300,    100.0000,     22.3685,     -2.0937,      0.9929,      1.2442,      5.2927,      0.0143,      0.1163,      0.2236,   1064.2624,    601.4308,     56.3771,  12228.9953,     18.1774,    105.7828,    848.4196,         223,     79.3594,     35.2500,   3477.0000,    271.2226,    667.5867,   -275.5145,   -683.9771,    0.033333,    0.103333,    0.156667,  46206.8915, 233153.2555,  96992.6497,     10.7409,     12.3595,     11.4824,     12.1789,     61.4528,     25.5646,     69.9749,     29.1098,      2.4038,      0.1317,    600.9939,    603.9298,      1.0049,      0.9148,      0.9796,      0.6399,      0.4248,
                              ,    00:07:30,         270,           0,      0.0000,         300,    100.0000,     29.9283,     -2.2652,      0.7822,      0.0000,      5.2927,      0.0000,      0.1163,      0.1651,   1111.2074,    817.6178,     53.9953,   1265.6943,     16.2127,     93.9850,   1124.3759,         218,     81.0409,     45.0000,   6042.0000,    328.6296,    764.0305,   -283.0640,   -769.9811,    0.033333,    0.103333,    0.240000,  82032.2274, 384810.8099, 112373.0758,     11.3149,     12.8605,     11.6296,     14.2573,     66.8804,     19.5305,     78.0013,     22.7781,      3.4244,      0.1150,    796.5362,    828.7885,      1.0405,      0.8464,      0.7575,      0.6049,      0.4408,
                              ,    00:08:30,         275,           0,      0.0000,         300,    100.0000,     29.8510,     -2.1978,      0.8077,      2.3913,      7.6839,      0.0696,      0.1858,      0.4145,   1093.5127,    823.8062,     54.8690,    939.9974,     16.2127,     93.9850,   1124.6681,         225,     82.1168,     30.5556,   6033.0000,    247.3226,    721.3337,   -288.9884,   -786.5638,    0.033333,    0.040000,    0.163333, 203831.4407, 608692.2532, 217720.5805,     12.2250,     13.3191,     12.2910,     20.7809,     62.0571,     22.1969,     78.3361,     28.0197,      2.7957,      0.1364,    796.7183,    852.1328,      1.0696,      0.8225,      0.7777,      0.9110,      0.6965,
                              ,    00:09:30,         272,           0,      0.0000,         300,    100.0000,     30.2357,     -2.2368,      0.7812,      1.8752,      9.5591,      0.0429,      0.2288,      0.3286,   1103.7721,    831.3217,     54.3590,   2180.3167,     16.2127,     93.9850,   1137.3084,         218,     80.4428,     38.8571,   6032.0000,    249.1859,    725.0941,   -257.9131,   -794.0546,    0.033333,    0.040000,    0.150000, 558074.3707,1075578.3231, 379999.0771,     13.2322,     13.8884,     12.8479,     29.0870,     56.0595,     19.8057,     79.0540,     27.9296,      2.8305,      0.1589,    805.6942,    853.7567,      1.0597,      0.8004,      0.7833,      0.8000,      0.6419,
                              ,    00:10:30,         266,           0,      0.0000,         300,    100.0000,     29.1769,     -2.3076,      0.7522,      0.0000,      9.5591,      0.0000,      0.2288,      0.1651,   1126.5338,    801.9806,     53.2607,    365.6891,     16.2127,     93.9850,   1094.0491,         230,     86.7925,     33.2500,   6035.0000,    224.6936,    718.7228,   -236.1534,   -779.7245,    0.033333,    0.096667,    0.170000, 382627.9141, 636870.7009, 303802.7158,     12.8548,     13.3643,     12.6241,     29.9741,     49.8909,     23.7992,     71.2464,     33.9863,      2.0963,      0.1665,    775.0768,    828.6124,      1.0691,      0.8960,      1.0452,      0.8050,      0.6487,
                              ,    00:11:30,         266,           0,      0.0000,         300,    100.0000,     28.9673,     -2.2922,      0.8614,      2.0919,     11.6510,      0.0538,      0.2825,      0.3647,   1126.9098,    794.6381,     53.2429,    364.8761,     16.2127,     93.9850,   1086.1208,         238,     89.8113,     29.5556,   6019.0000,    285.6361,    771.3216,   -252.6776,   -795.0538,    0.033333,    0.096667,    0.216667,  43784.8544, 121673.4621, 131810.7829,     10.6870,     11.7091,     11.7891,     14.2944,     39.7226,     43.0322,     46.3478,     50.2093,      0.9231,      0.1682,    769.4574,    821.7405,      1.0679,      0.9242,      1.0559,      0.7569,      0.6189,
                              ,    00:12:30,         287,           0,      0.0000,         300,    100.0000,     18.7508,     -1.9915,      1.1073,      0.0000,     11.6510,      0.0000,      0.2825,      0.1651,   1045.7422,    526.8615,     57.3755,    407.5904,     16.8558,     89.6057,    716.7544,         249,     87.0629,     23.9167,   3503.0000,    206.7434,    577.9534,   -230.8583,   -622.2531,    0.030000,    0.086667,    0.206667,  17226.8674, 154062.1092,  99738.7844,      9.7542,     11.9451,     11.5103,      6.1746,     55.2202,     35.7492,     58.8542,     38.1018,      1.5447,      0.1511,    507.7103,    547.0549,      1.0775,      0.9795,      1.0050,      0.5686,      0.6637,
