,secs,meas
0,0.0,-2.6
1,0.015625,-6.01
2,0.03125,-10.37
3,0.046875,-15.2
4,0.0625,-19.57
5,0.078125,-22.38
6,0.09375,-22.87
7,0.109375,-20.9
8,0.125,-17.04
9,0.140625,-12.25
10,0.15625,-7.44
11,0.171875,-3.15
12,0.1875,0.57
13,0.203125,4.01
14,0.21875,7.49
15,0.234375,11.1
16,0.25,14.62
17,0.265625,17.58
18,0.28125,19.47
19,0.296875,19.96
20,0.3125,18.99
21,0.328125,16.84
22,0.34375,13.91
23,0.359375,10.65
24,0.375,7.4
25,0.390625,4.36
26,0.40625,1.66
27,0.421875,-0.6
28,0.4375,-2.35
29,0.453125,-3.59
30,0.46875,-4.5
31,0.484375,-5.34
32,0.5,-6.42
33,0.515625,-7.81
34,0.53125,-9.22
35,0.546875,-10.1
36,0.5625,-9.78
37,0.578125,-7.83
38,0.59375,-4.25
39,0.609375,0.58
40,0.625,5.99
41,0.640625,11.37
42,0.65625,16.29
43,0.671875,20.57
44,0.6875,24.19
45,0.703125,27.18
46,0.71875,29.53
47,0.734375,31.15
48,0.75,31.91
49,0.765625,31.7
50,0.78125,30.5
51,0.796875,28.41
52,0.8125,25.69
53,0.828125,22.7
54,0.84375,19.83
55,0.859375,17.37
56,0.875,15.5
57,0.890625,14.21
58,0.90625,13.38
59,0.921875,12.76
60,0.9375,12.05
61,0.953125,10.93
62,0.96875,9.06
63,0.984375,6.35
64,1.0,3.05
65,1.015625,-0.19
66,1.03125,-2.43
67,1.046875,-2.79
68,1.0625,-0.85
69,1.078125,3.19
70,1.09375,8.54
71,1.109375,14.13
72,1.125,19.03
73,1.140625,22.65
74,1.15625,24.85
75,1.171875,25.77
76,1.1875,25.62
77,1.203125,24.63
78,1.21875,22.99
79,1.234375,20.86
80,1.25,18.4
81,1.265625,15.78
82,1.28125,13.09
83,1.296875,10.4
84,1.3125,7.74
85,1.328125,5.14
86,1.34375,2.62
87,1.359375,0.19
88,1.375,-2.13
89,1.390625,-4.26
90,1.40625,-6.14
91,1.421875,-7.7
92,1.4375,-9.0
93,1.453125,-10.21
94,1.46875,-11.53
95,1.484375,-13.07
96,1.5,-14.66
97,1.515625,-15.8
98,1.53125,-15.79
99,1.546875,-14.04
100,1.5625,-10.33
101,1.578125,-5.0
102,1.59375,1.13
103,1.609375,7.04
104,1.625,11.87
105,1.640625,15.13
106,1.65625,16.76
107,1.671875,17.03
108,1.6875,16.31
109,1.703125,14.9
110,1.71875,13.0
111,1.734375,10.69
112,1.75,8.16
113,1.765625,5.66
114,1.78125,3.51
115,1.796875,1.99
116,1.8125,1.17
117,1.828125,0.86
118,1.84375,0.72
119,1.859375,0.36
120,1.875,-0.46
121,1.890625,-1.81
122,1.90625,-3.66
123,1.921875,-6.0
124,1.9375,-8.85
125,1.953125,-12.24
126,1.96875,-15.92
127,1.984375,-19.31
128,2.0,-21.54
129,2.015625,-21.67
130,2.03125,-19.16
131,2.046875,-14.11
132,2.0625,-7.31
133,2.078125,-0.0
134,2.09375,6.59
135,2.109375,11.64
136,2.125,14.87
137,2.140625,16.53
138,2.15625,17.08
139,2.171875,16.89
140,2.1875,16.17
141,2.203125,14.93
142,2.21875,13.14
143,2.234375,10.9
144,2.25,8.42
145,2.265625,6.01
146,2.28125,3.9
147,2.296875,2.2
148,2.3125,0.87
149,2.328125,-0.21
150,2.34375,-1.17
151,2.359375,-2.04
152,2.375,-2.86
153,2.390625,-3.73
154,2.40625,-4.86
155,2.421875,-6.59
156,2.4375,-9.1
157,2.453125,-12.26
158,2.46875,-15.45
159,2.484375,-17.67
160,2.5,-17.94
161,2.515625,-15.69
162,2.53125,-11.03
163,2.546875,-4.82
164,2.5625,1.74
165,2.578125,7.5
166,2.59375,11.82
167,2.609375,14.6
168,2.625,16.11
169,2.640625,16.7
170,2.65625,16.51
171,2.671875,15.44
172,2.6875,13.35
173,2.703125,10.26
174,2.71875,6.49
175,2.734375,2.6
176,2.75,-0.83
177,2.765625,-3.41
178,2.78125,-5.11
179,2.796875,-6.17
180,2.8125,-7.02
181,2.828125,-7.97
182,2.84375,-9.23
183,2.859375,-10.85
184,2.875,-12.85
185,2.890625,-15.2
186,2.90625,-17.84
187,2.921875,-20.47
188,2.9375,-22.53
189,2.953125,-23.25
190,2.96875,-21.95
191,2.984375,-18.39
192,3.0,-12.9
193,3.015625,-6.42
194,3.03125,-0.08
195,3.046875,5.18
196,3.0625,8.9
197,3.078125,11.13
198,3.09375,12.2
199,3.109375,12.44
200,3.125,11.98
201,3.140625,10.78
202,3.15625,8.82
203,3.171875,6.25
204,3.1875,3.48
205,3.203125,0.98
206,3.21875,-0.82
207,3.234375,-1.79
208,3.25,-2.09
209,3.265625,-2.09
210,3.28125,-2.23
211,3.296875,-2.86
212,3.3125,-4.24
213,3.328125,-6.45
214,3.34375,-9.44
215,3.359375,-12.86
216,3.375,-16.1
217,3.390625,-18.33
218,3.40625,-18.75
219,3.421875,-16.9
220,3.4375,-12.9
221,3.453125,-7.47
222,3.46875,-1.72
223,3.484375,3.32
224,3.5,6.97
225,3.515625,9.09
226,3.53125,9.88
227,3.546875,9.67
228,3.5625,8.66
229,3.578125,6.88
230,3.59375,4.27
231,3.609375,0.89
232,3.625,-3.09
233,3.640625,-7.3
234,3.65625,-11.4
235,3.671875,-15.16
236,3.6875,-18.51
237,3.703125,-21.57
238,3.71875,-24.51
239,3.734375,-27.54
240,3.75,-30.82
241,3.765625,-34.45
242,3.78125,-38.5
243,3.796875,-42.86
244,3.8125,-47.19
245,3.828125,-50.83
246,3.84375,-52.93
247,3.859375,-52.66
248,3.875,-49.56
249,3.890625,-43.75
