,secs,meas
0,0.0,23.72
1,0.015625,24.73
2,0.03125,25.83
3,0.046875,26.44
4,0.0625,26.09
5,0.078125,24.67
6,0.09375,22.43
7,0.109375,19.93
8,0.125,17.87
9,0.140625,16.95
10,0.15625,17.6
11,0.171875,19.75
12,0.1875,22.58
13,0.203125,24.58
14,0.21875,23.92
15,0.234375,19.06
16,0.25,9.5
17,0.265625,-3.89
18,0.28125,-19.04
19,0.296875,-33.47
20,0.3125,-45.16
21,0.328125,-53.2
22,0.34375,-57.92
23,0.359375,-60.35
24,0.375,-61.44
25,0.390625,-61.52
26,0.40625,-60.19
27,0.421875,-56.64
28,0.4375,-50.29
29,0.453125,-41.08
30,0.46875,-29.62
31,0.484375,-16.91
32,0.5,-3.94
33,0.515625,8.41
34,0.53125,19.38
35,0.546875,28.02
36,0.5625,33.21
37,0.578125,33.83
38,0.59375,29.3
39,0.609375,20.08
40,0.625,7.85
41,0.640625,-4.87
42,0.65625,-15.5
43,0.671875,-22.26
44,0.6875,-24.67
45,0.703125,-23.49
46,0.71875,-20.22
47,0.734375,-16.48
48,0.75,-13.41
49,0.765625,-11.51
50,0.78125,-10.79
51,0.796875,-10.95
52,0.8125,-11.72
53,0.828125,-12.9
54,0.84375,-14.42
55,0.859375,-16.29
56,0.875,-18.52
57,0.890625,-21.02
58,0.90625,-23.55
59,0.921875,-25.71
60,0.9375,-26.97
61,0.953125,-26.8
62,0.96875,-24.8
63,0.984375,-20.89
64,1.0,-15.37
65,1.015625,-8.83
66,1.03125,-2.07
67,1.046875,4.17
68,1.0625,9.34
69,1.078125,13.18
70,1.09375,15.76
71,1.109375,17.34
72,1.125,18.27
73,1.140625,18.9
74,1.15625,19.48
75,1.171875,20.19
76,1.1875,21.14
77,1.203125,22.34
78,1.21875,23.75
79,1.234375,25.22
80,1.25,26.56
81,1.265625,27.55
82,1.28125,28.04
83,1.296875,27.96
84,1.3125,27.35
85,1.328125,26.35
86,1.34375,25.14
87,1.359375,23.83
88,1.375,22.47
89,1.390625,20.98
90,1.40625,19.2
91,1.421875,17.0
92,1.4375,14.33
93,1.453125,11.33
94,1.46875,8.28
95,1.484375,5.46
96,1.5,3.02
97,1.515625,0.85
98,1.53125,-1.42
99,1.546875,-4.15
100,1.5625,-7.57
101,1.578125,-11.55
102,1.59375,-15.58
103,1.609375,-18.98
104,1.625,-21.09
105,1.640625,-21.5
106,1.65625,-20.14
107,1.671875,-17.33
108,1.6875,-13.62
109,1.703125,-9.58
110,1.71875,-5.71
111,1.734375,-2.23
112,1.75,0.83
113,1.765625,3.55
114,1.78125,6.04
115,1.796875,8.32
116,1.8125,10.32
117,1.828125,11.95
118,1.84375,13.17
119,1.859375,14.04
120,1.875,14.74
121,1.890625,15.44
122,1.90625,16.26
123,1.921875,17.16
124,1.9375,18.01
125,1.953125,18.62
126,1.96875,18.84
127,1.984375,18.7
128,2.0,18.32
129,2.015625,17.92
130,2.03125,17.62
131,2.046875,17.39
132,2.0625,16.95
133,2.078125,15.98
134,2.09375,14.2
135,2.109375,11.61
136,2.125,8.49
137,2.140625,5.23
138,2.15625,2.27
139,2.171875,-0.2
140,2.1875,-2.25
141,2.203125,-4.13
142,2.21875,-6.14
143,2.234375,-8.49
144,2.25,-11.29
145,2.265625,-14.51
146,2.28125,-18.13
147,2.296875,-21.97
148,2.3125,-25.76
149,2.328125,-29.01
150,2.34375,-31.11
151,2.359375,-31.53
152,2.375,-29.99
153,2.390625,-26.67
154,2.40625,-22.12
155,2.421875,-17.17
156,2.4375,-12.51
157,2.453125,-8.57
158,2.46875,-5.38
159,2.484375,-2.72
160,2.5,-0.3
161,2.515625,2.07
162,2.53125,4.4
163,2.546875,6.64
164,2.5625,8.7
165,2.578125,10.59
166,2.59375,12.34
167,2.609375,14.02
168,2.625,15.59
169,2.640625,16.93
170,2.65625,17.87
171,2.671875,18.27
172,2.6875,18.1
173,2.703125,17.47
174,2.71875,16.58
175,2.734375,15.65
176,2.75,14.79
177,2.765625,13.98
178,2.78125,13.08
179,2.796875,11.92
180,2.8125,10.36
181,2.828125,8.39
182,2.84375,6.15
183,2.859375,3.88
184,2.875,1.81
185,2.890625,0.03
186,2.90625,-1.55
187,2.921875,-3.11
188,2.9375,-4.9
189,2.953125,-7.09
190,2.96875,-9.72
191,2.984375,-12.72
192,3.0,-15.97
193,3.015625,-19.3
194,3.03125,-22.44
195,3.046875,-25.04
196,3.0625,-26.66
197,3.078125,-26.9
198,3.09375,-25.61
199,3.109375,-22.91
200,3.125,-19.25
201,3.140625,-15.21
202,3.15625,-11.27
203,3.171875,-7.67
204,3.1875,-4.44
205,3.203125,-1.54
206,3.21875,1.04
207,3.234375,3.19
208,3.25,4.75
209,3.265625,5.63
210,3.28125,5.91
211,3.296875,5.81
212,3.3125,5.65
213,3.328125,5.7
214,3.34375,6.12
215,3.359375,6.87
216,3.375,7.76
217,3.390625,8.56
218,3.40625,9.06
219,3.421875,9.15
220,3.4375,8.86
221,3.453125,8.34
222,3.46875,7.74
223,3.484375,7.17
224,3.5,6.58
225,3.515625,5.84
226,3.53125,4.76
227,3.546875,3.22
228,3.5625,1.24
229,3.578125,-1.03
230,3.59375,-3.38
231,3.609375,-5.6
232,3.625,-7.58
233,3.640625,-9.35
234,3.65625,-11.02
235,3.671875,-12.81
236,3.6875,-14.89
237,3.703125,-17.37
238,3.71875,-20.17
239,3.734375,-23.01
240,3.75,-25.41
241,3.765625,-26.84
242,3.78125,-26.8
243,3.796875,-25.07
244,3.8125,-21.71
245,3.828125,-17.1
246,3.84375,-11.79
247,3.859375,-6.32
248,3.875,-1.11
249,3.890625,3.61
250,3.90625,7.75
251,3.921875,11.32
252,3.9375,14.38
253,3.953125,17.02
254,3.96875,19.31
255,3.984375,21.31
256,4.0,23.04
257,4.015625,24.53
258,4.03125,25.79
259,4.046875,26.82
260,4.0625,27.65
261,4.078125,28.25
262,4.09375,28.65
263,4.109375,28.89
264,4.125,29.05
265,4.140625,29.27
266,4.15625,29.61
267,4.171875,30.04
268,4.1875,30.36
269,4.203125,30.29
270,4.21875,29.57
271,4.234375,28.11
272,4.25,26.0
273,4.265625,23.48
274,4.28125,20.88
275,4.296875,18.46
276,4.3125,16.43
277,4.328125,14.88
278,4.34375,13.79
279,4.359375,12.96
280,4.375,11.94
281,4.390625,10.19
282,4.40625,7.21
283,4.421875,2.82
284,4.4375,-2.66
285,4.453125,-8.39
286,4.46875,-13.32
287,4.484375,-16.53
288,4.5,-17.57
289,4.515625,-16.65
290,4.53125,-14.41
291,4.546875,-11.67
292,4.5625,-9.12
293,4.578125,-7.07
294,4.59375,-5.51
295,4.609375,-4.26
296,4.625,-3.13
297,4.640625,-2.08
298,4.65625,-1.23
299,4.671875,-0.7
300,4.6875,-0.57
301,4.703125,-0.76
302,4.71875,-1.05
303,4.734375,-1.18
304,4.75,-0.99
305,4.765625,-0.49
306,4.78125,0.15
307,4.796875,0.69
308,4.8125,0.9
309,4.828125,0.66
310,4.84375,-0.03
311,4.859375,-1.08
312,4.875,-2.37
313,4.890625,-3.79
314,4.90625,-5.2
315,4.921875,-6.51
316,4.9375,-7.64
317,4.953125,-8.59
318,4.96875,-9.43
319,4.984375,-10.31
320,5.0,-11.5
321,5.015625,-13.25
322,5.03125,-15.74
323,5.046875,-18.91
324,5.0625,-22.43
325,5.078125,-25.61
326,5.09375,-27.65
327,5.109375,-27.8
328,5.125,-25.72
329,5.140625,-21.6
330,5.15625,-16.2
331,5.171875,-10.52
332,5.1875,-5.5
333,5.203125,-1.68
334,5.21875,0.9
335,5.234375,2.61
336,5.25,3.93
337,5.265625,5.25
338,5.28125,6.67
339,5.296875,8.04
340,5.3125,9.07
341,5.328125,9.56
342,5.34375,9.49
343,5.359375,9.03
344,5.375,8.46
345,5.390625,7.99
346,5.40625,7.71
347,5.421875,7.56
348,5.4375,7.41
349,5.453125,7.16
350,5.46875,6.78
351,5.484375,6.29
352,5.5,5.73
353,5.515625,5.08
354,5.53125,4.25
355,5.546875,3.14
356,5.5625,1.66
357,5.578125,-0.2
358,5.59375,-2.36
359,5.609375,-4.72
360,5.625,-7.21
361,5.640625,-9.86
362,5.65625,-12.7
363,5.671875,-15.75
364,5.6875,-18.84
365,5.703125,-21.61
366,5.71875,-23.52
367,5.734375,-24.04
368,5.75,-22.91
369,5.765625,-20.17
370,5.78125,-16.29
371,5.796875,-11.92
372,5.8125,-7.66
373,5.828125,-3.93
374,5.84375,-0.81
375,5.859375,1.81
376,5.875,4.14
377,5.890625,6.32
378,5.90625,8.37
379,5.921875,10.23
380,5.9375,11.85
381,5.953125,13.21
382,5.96875,14.32
383,5.984375,15.23
384,6.0,15.97
385,6.015625,16.53
386,6.03125,16.84
387,6.046875,16.88
388,6.0625,16.62
389,6.078125,16.12
390,6.09375,15.43
391,6.109375,14.64
392,6.125,13.74
393,6.140625,12.69
394,6.15625,11.38
395,6.171875,9.71
396,6.1875,7.66
397,6.203125,5.29
398,6.21875,2.73
399,6.234375,0.11
400,6.25,-2.48
401,6.265625,-5.02
402,6.28125,-7.61
403,6.296875,-10.35
404,6.3125,-13.33
405,6.328125,-16.51
406,6.34375,-19.66
407,6.359375,-22.4
408,6.375,-24.2
409,6.390625,-24.61
410,6.40625,-23.35
411,6.421875,-20.48
412,6.4375,-16.42
413,6.453125,-11.85
414,6.46875,-7.48
415,6.484375,-3.84
416,6.5,-1.16
417,6.515625,0.63
418,6.53125,1.77
419,6.546875,2.56
420,6.5625,3.24
421,6.578125,3.96
422,6.59375,4.77
423,6.609375,5.7
424,6.625,6.69
425,6.640625,7.68
426,6.65625,8.57
427,6.671875,9.29
428,6.6875,9.78
429,6.703125,10.06
430,6.71875,10.18
431,6.734375,10.23
432,6.75,10.32
433,6.765625,10.44
434,6.78125,10.55
435,6.796875,10.49
436,6.8125,10.08
437,6.828125,9.14
438,6.84375,7.63
439,6.859375,5.64
440,6.875,3.42
441,6.890625,1.25
442,6.90625,-0.68
443,6.921875,-2.32
444,6.9375,-3.84
445,6.953125,-5.51
446,6.96875,-7.54
447,6.984375,-10.05
448,7.0,-12.89
449,7.015625,-15.75
450,7.03125,-18.22
451,7.046875,-19.92
452,7.0625,-20.6
453,7.078125,-20.22
454,7.09375,-18.81
455,7.109375,-16.43
456,7.125,-13.1
457,7.140625,-8.85
458,7.15625,-3.79
459,7.171875,1.79
460,7.1875,7.37
461,7.203125,12.41
462,7.21875,16.36
463,7.234375,18.94
464,7.25,20.12
465,7.265625,20.11
466,7.28125,19.26
467,7.296875,17.97
468,7.3125,16.58
469,7.328125,15.31
470,7.34375,14.33
471,7.359375,13.66
472,7.375,13.25
473,7.390625,13.02
474,7.40625,12.83
475,7.421875,12.58
476,7.4375,12.18
477,7.453125,11.56
478,7.46875,10.65
479,7.484375,9.47
480,7.5,8.09
481,7.515625,6.6
482,7.53125,5.11
483,7.546875,3.64
484,7.5625,2.16
485,7.578125,0.55
486,7.59375,-1.26
487,7.609375,-3.28
488,7.625,-5.43
489,7.640625,-7.63
490,7.65625,-9.82
491,7.671875,-11.93
492,7.6875,-13.82
493,7.703125,-15.26
494,7.71875,-15.9
495,7.734375,-15.44
496,7.75,-13.74
497,7.765625,-10.97
498,7.78125,-7.58
499,7.796875,-4.16
500,7.8125,-1.2
501,7.828125,1.05
502,7.84375,2.64
503,7.859375,3.84
504,7.875,4.94
505,7.890625,6.14
506,7.90625,7.43
507,7.921875,8.62
508,7.9375,9.52
509,7.953125,10.05
510,7.96875,10.28
511,7.984375,10.4
512,8.0,10.57
513,8.015625,10.83
514,8.03125,11.09
515,8.046875,11.17
516,8.0625,10.91
517,8.078125,10.27
518,8.09375,9.35
519,8.109375,8.24
520,8.125,7.05
521,8.140625,5.81
522,8.15625,4.46
523,8.171875,2.95
524,8.1875,1.17
525,8.203125,-0.88
526,8.21875,-3.2
527,8.234375,-5.66
528,8.25,-8.1
529,8.265625,-10.35
530,8.28125,-12.3
531,8.296875,-14.0
532,8.3125,-15.6
533,8.328125,-17.33
534,8.34375,-19.36
535,8.359375,-21.76
536,8.375,-24.4
537,8.390625,-27.02
538,8.40625,-29.24
539,8.421875,-30.62
540,8.4375,-30.79
541,8.453125,-29.53
542,8.46875,-26.87
543,8.484375,-23.14
544,8.5,-18.93
545,8.515625,-14.85
546,8.53125,-11.36
547,8.546875,-8.57
548,8.5625,-6.33
549,8.578125,-4.32
550,8.59375,-2.3
551,8.609375,-0.24
552,8.625,1.74
553,8.640625,3.46
554,8.65625,4.86
555,8.671875,6.06
556,8.6875,7.34
557,8.703125,8.94
558,8.71875,11.01
559,8.734375,13.51
560,8.75,16.32
561,8.765625,19.27
562,8.78125,22.26
563,8.796875,25.24
564,8.8125,28.18
565,8.828125,31.05
566,8.84375,33.78
567,8.859375,36.2
568,8.875,38.13
569,8.890625,39.37
570,8.90625,39.8
571,8.921875,39.37
572,8.9375,38.18
573,8.953125,36.38
574,8.96875,34.19
575,8.984375,31.82
576,9.0,29.46
577,9.015625,27.19
578,9.03125,25.07
579,9.046875,23.01
580,9.0625,20.82
581,9.078125,18.22
582,9.09375,14.91
583,9.109375,10.73
584,9.125,5.77
585,9.140625,0.38
586,9.15625,-4.93
587,9.171875,-9.67
588,9.1875,-13.49
589,9.203125,-16.28
590,9.21875,-18.09
591,9.234375,-19.06
592,9.25,-19.31
593,9.265625,-18.98
594,9.28125,-18.18
595,9.296875,-17.08
596,9.3125,-15.9
597,9.328125,-14.83
598,9.34375,-14.06
599,9.359375,-13.68
600,9.375,-13.61
601,9.390625,-13.71
602,9.40625,-13.76
603,9.421875,-13.55
604,9.4375,-12.96
605,9.453125,-11.97
606,9.46875,-10.64
607,9.484375,-9.09
608,9.5,-7.4
609,9.515625,-5.69
610,9.53125,-4.05
611,9.546875,-2.64
612,9.5625,-1.6
613,9.578125,-1.05
614,9.59375,-1.02
615,9.609375,-1.45
616,9.625,-2.2
617,9.640625,-3.14
618,9.65625,-4.19
619,9.671875,-5.41
620,9.6875,-6.86
621,9.703125,-8.64
622,9.71875,-10.79
623,9.734375,-13.23
624,9.75,-15.83
625,9.765625,-18.34
626,9.78125,-20.41
627,9.796875,-21.69
628,9.8125,-21.83
629,9.828125,-20.62
630,9.84375,-18.06
631,9.859375,-14.42
632,9.875,-10.19
633,9.890625,-5.95
634,9.90625,-2.16
635,9.921875,0.93
636,9.9375,3.33
637,9.953125,5.21
638,9.96875,6.79
639,9.984375,8.2
640,10.0,9.47
641,10.015625,10.48
642,10.03125,11.11
643,10.046875,11.29
644,10.0625,11.05
645,10.078125,10.54
646,10.09375,9.94
647,10.109375,9.47
648,10.125,9.23
649,10.140625,9.25
650,10.15625,9.45
651,10.171875,9.71
652,10.1875,9.84
653,10.203125,9.68
654,10.21875,9.11
655,10.234375,8.06
656,10.25,6.55
657,10.265625,4.69
658,10.28125,2.63
659,10.296875,0.51
660,10.3125,-1.59
661,10.328125,-3.65
662,10.34375,-5.78
663,10.359375,-8.07
664,10.375,-10.58
665,10.390625,-13.25
666,10.40625,-15.84
667,10.421875,-18.02
668,10.4375,-19.39
669,10.453125,-19.64
670,10.46875,-18.61
671,10.484375,-16.39
672,10.5,-13.29
673,10.515625,-9.74
674,10.53125,-6.23
675,10.546875,-3.14
676,10.5625,-0.67
677,10.578125,1.18
678,10.59375,2.57
679,10.609375,3.69
680,10.625,4.68
681,10.640625,5.59
682,10.65625,6.38
683,10.671875,7.02
684,10.6875,7.51
685,10.703125,7.89
686,10.71875,8.22
687,10.734375,8.5
688,10.75,8.65
689,10.765625,8.52
690,10.78125,7.99
691,10.796875,7.09
692,10.8125,5.94
693,10.828125,4.71
694,10.84375,3.55
695,10.859375,2.46
696,10.875,1.37
697,10.890625,0.19
698,10.90625,-1.12
699,10.921875,-2.54
700,10.9375,-4.01
701,10.953125,-5.48
702,10.96875,-6.97
703,10.984375,-8.55
704,11.0,-10.26
705,11.015625,-12.09
706,11.03125,-14.04
707,11.046875,-16.1
708,11.0625,-18.3
709,11.078125,-20.63
710,11.09375,-22.95
711,11.109375,-24.89
712,11.125,-25.94
713,11.140625,-25.64
714,11.15625,-23.79
715,11.171875,-20.6
716,11.1875,-16.63
717,11.203125,-12.58
718,11.21875,-8.98
719,11.234375,-6.04
720,11.25,-3.6
721,11.265625,-1.39
722,11.28125,0.86
723,11.296875,3.14
724,11.3125,5.31
725,11.328125,7.17
726,11.34375,8.65
727,11.359375,9.86
728,11.375,11.02
729,11.390625,12.29
730,11.40625,13.66
731,11.421875,14.92
732,11.4375,15.81
733,11.453125,16.14
734,11.46875,15.87
735,11.484375,15.12
736,11.5,14.06
737,11.515625,12.77
738,11.53125,11.24
739,11.546875,9.42
740,11.5625,7.31
741,11.578125,5.05
742,11.59375,2.86
743,11.609375,1.01
744,11.625,-0.36
745,11.640625,-1.28
746,11.65625,-1.97
747,11.671875,-2.8
748,11.6875,-4.13
749,11.703125,-6.22
750,11.71875,-9.09
751,11.734375,-12.5
752,11.75,-15.92
753,11.765625,-18.75
754,11.78125,-20.4
755,11.796875,-20.52
756,11.8125,-19.1
757,11.828125,-16.46
758,11.84375,-13.13
759,11.859375,-9.64
760,11.875,-6.39
761,11.890625,-3.54
762,11.90625,-1.1
763,11.921875,1.03
764,11.9375,2.98
765,11.953125,4.79
766,11.96875,6.46
767,11.984375,7.98
768,12.0,9.37
769,12.015625,10.69
770,12.03125,11.97
771,12.046875,13.22
772,12.0625,14.41
773,12.078125,15.44
774,12.09375,16.24
775,12.109375,16.74
776,12.125,16.94
777,12.140625,16.9
778,12.15625,16.69
779,12.171875,16.33
780,12.1875,15.78
781,12.203125,14.95
782,12.21875,13.74
783,12.234375,12.13
784,12.25,10.19
785,12.265625,8.08
786,12.28125,5.99
787,12.296875,4.03
788,12.3125,2.21
789,12.328125,0.43
790,12.34375,-1.46
791,12.359375,-3.61
792,12.375,-6.11
793,12.390625,-8.98
794,12.40625,-12.1
795,12.421875,-15.28
796,12.4375,-18.17
797,12.453125,-20.38
798,12.46875,-21.51
799,12.484375,-21.38
800,12.5,-20.06
801,12.515625,-17.91
802,12.53125,-15.46
803,12.546875,-13.2
804,12.5625,-11.43
805,12.578125,-10.21
806,12.59375,-9.42
807,12.609375,-8.87
808,12.625,-8.43
809,12.640625,-7.98
810,12.65625,-7.48
811,12.671875,-6.93
812,12.6875,-6.3
813,12.703125,-5.64
814,12.71875,-4.99
815,12.734375,-4.4
816,12.75,-3.85
817,12.765625,-3.22
818,12.78125,-2.38
819,12.796875,-1.22
820,12.8125,0.21
821,12.828125,1.72
822,12.84375,3.04
823,12.859375,3.92
824,12.875,4.27
825,12.890625,4.15
826,12.90625,3.73
827,12.921875,3.14
828,12.9375,2.47
829,12.953125,1.68
830,12.96875,0.74
831,12.984375,-0.3
832,13.0,-1.27
833,13.015625,-1.95
834,13.03125,-2.23
835,13.046875,-2.22
836,13.0625,-2.27
837,13.078125,-2.89
838,13.09375,-4.52
839,13.109375,-7.29
840,13.125,-10.89
841,13.140625,-14.67
842,13.15625,-17.86
843,13.171875,-19.81
844,13.1875,-20.25
845,13.203125,-19.24
846,13.21875,-17.13
847,13.234375,-14.37
848,13.25,-11.29
849,13.265625,-8.14
850,13.28125,-4.96
851,13.296875,-1.78
852,13.3125,1.38
853,13.328125,4.4
854,13.34375,7.09
855,13.359375,9.29
856,13.375,10.93
857,13.390625,12.08
858,13.40625,12.89
859,13.421875,13.57
860,13.4375,14.19
861,13.453125,14.74
862,13.46875,15.15
863,13.484375,15.32
864,13.5,15.26
865,13.515625,15.1
866,13.53125,15.01
867,13.546875,15.06
868,13.5625,15.17
869,13.578125,15.14
870,13.59375,14.71
871,13.609375,13.73
872,13.625,12.25
873,13.640625,10.47
874,13.65625,8.66
875,13.671875,7.02
876,13.6875,5.55
877,13.703125,4.12
878,13.71875,2.59
