,secs,meas
0,0.0,-73.8
1,0.015625,-81.63
2,0.03125,-86.76
3,0.046875,-87.88
4,0.0625,-84.32
5,0.078125,-76.31
6,0.09375,-64.89
7,0.109375,-51.58
8,0.125,-37.91
9,0.140625,-25.03
10,0.15625,-13.54
11,0.171875,-3.55
12,0.1875,5.04
13,0.203125,12.45
14,0.21875,18.85
15,0.234375,24.45
16,0.25,29.43
17,0.265625,33.96
18,0.28125,38.11
19,0.296875,41.84
20,0.3125,44.99
21,0.328125,47.39
22,0.34375,48.99
23,0.359375,49.89
24,0.375,50.3
25,0.390625,50.51
26,0.40625,50.77
27,0.421875,51.24
28,0.4375,51.92
29,0.453125,52.7
30,0.46875,53.37
31,0.484375,53.65
32,0.5,53.3
33,0.515625,52.14
34,0.53125,50.15
35,0.546875,47.5
36,0.5625,44.43
37,0.578125,41.26
38,0.59375,38.23
39,0.609375,35.49
40,0.625,32.98
41,0.640625,30.54
42,0.65625,27.9
43,0.671875,24.83
44,0.6875,21.2
45,0.703125,17.05
46,0.71875,12.63
47,0.734375,8.24
48,0.75,4.13
49,0.765625,0.39
50,0.78125,-3.17
51,0.796875,-6.87
52,0.8125,-11.05
53,0.828125,-15.88
54,0.84375,-21.26
55,0.859375,-26.91
56,0.875,-32.48
57,0.890625,-37.75
58,0.90625,-42.72
59,0.921875,-47.6
60,0.9375,-52.79
61,0.953125,-58.72
62,0.96875,-65.68
63,0.984375,-73.69
64,1.0,-82.3
65,1.015625,-90.59
66,1.03125,-97.23
67,1.046875,-100.82
68,1.0625,-100.26
69,1.078125,-95.07
70,1.09375,-85.65
71,1.109375,-73.06
72,1.125,-58.79
73,1.140625,-44.34
74,1.15625,-30.92
75,1.171875,-19.24
76,1.1875,-9.55
77,1.203125,-1.7
78,1.21875,4.72
79,1.234375,10.24
80,1.25,15.34
81,1.265625,20.31
82,1.28125,25.18
83,1.296875,29.73
84,1.3125,33.65
85,1.328125,36.64
86,1.34375,38.59
87,1.359375,39.62
88,1.375,39.97
89,1.390625,39.95
90,1.40625,39.84
91,1.421875,39.83
92,1.4375,40.02
93,1.453125,40.39
94,1.46875,40.81
95,1.484375,40.98
96,1.5,40.58
97,1.515625,39.27
98,1.53125,36.89
99,1.546875,33.54
100,1.5625,29.57
101,1.578125,25.44
102,1.59375,21.59
103,1.609375,18.23
104,1.625,15.28
105,1.640625,12.45
106,1.65625,9.32
107,1.671875,5.58
108,1.6875,1.09
109,1.703125,-4.0
110,1.71875,-9.39
111,1.734375,-14.7
112,1.75,-19.69
113,1.765625,-24.32
114,1.78125,-28.84
115,1.796875,-33.75
116,1.8125,-39.63
117,1.828125,-46.86
118,1.84375,-55.34
119,1.859375,-64.29
120,1.875,-72.28
121,1.890625,-77.63
122,1.90625,-78.84
123,1.921875,-75.16
124,1.9375,-66.88
125,1.953125,-55.22
126,1.96875,-41.84
127,1.984375,-28.38
128,2.0,-15.93
129,2.015625,-5.0
130,2.03125,4.4
131,2.046875,12.45
132,2.0625,19.32
133,2.078125,25.17
134,2.09375,30.13
135,2.109375,34.42
136,2.125,38.26
137,2.140625,41.86
138,2.15625,45.21
139,2.171875,48.16
140,2.1875,50.46
141,2.203125,51.9
142,2.21875,52.51
143,2.234375,52.51
144,2.25,52.32
145,2.265625,52.32
146,2.28125,52.71
147,2.296875,53.41
148,2.3125,54.13
149,2.328125,54.48
150,2.34375,54.14
151,2.359375,52.97
152,2.375,51.07
153,2.390625,48.67
154,2.40625,46.04
155,2.421875,43.37
156,2.4375,40.68
157,2.453125,37.94
158,2.46875,35.03
159,2.484375,31.92
160,2.5,28.62
161,2.515625,25.17
162,2.53125,21.57
163,2.546875,17.82
164,2.5625,13.89
165,2.578125,9.8
166,2.59375,5.67
167,2.609375,1.6
168,2.625,-2.35
169,2.640625,-6.27
170,2.65625,-10.37
171,2.671875,-14.86
172,2.6875,-19.84
173,2.703125,-25.19
174,2.71875,-30.65
175,2.734375,-35.91
176,2.75,-40.78
177,2.765625,-45.33
178,2.78125,-49.91
179,2.796875,-55.09
180,2.8125,-61.41
181,2.828125,-69.2
182,2.84375,-78.25
183,2.859375,-87.68
184,2.875,-96.0
185,2.890625,-101.42
186,2.90625,-102.39
187,2.921875,-98.13
188,2.9375,-88.88
189,2.953125,-75.85
190,2.96875,-60.83
191,2.984375,-45.59
192,3.0,-31.42
193,3.015625,-19.05
194,3.03125,-8.62
195,3.046875,0.06
196,3.0625,7.37
197,3.078125,13.66
198,3.09375,19.29
199,3.109375,24.5
200,3.125,29.39
201,3.140625,33.95
202,3.15625,38.03
203,3.171875,41.42
204,3.1875,44.0
205,3.203125,45.75
206,3.21875,46.82
207,3.234375,47.42
208,3.25,47.8
209,3.265625,48.1
210,3.28125,48.35
211,3.296875,48.46
212,3.3125,48.29
213,3.328125,47.71
214,3.34375,46.66
215,3.359375,45.18
216,3.375,43.34
217,3.390625,41.2
218,3.40625,38.78
219,3.421875,36.05
220,3.4375,32.99
221,3.453125,29.65
222,3.46875,26.17
223,3.484375,22.75
224,3.5,19.55
225,3.515625,16.59
226,3.53125,13.66
227,3.546875,10.41
228,3.5625,6.53
229,3.578125,1.81
230,3.59375,-3.69
231,3.609375,-9.62
232,3.625,-15.57
233,3.640625,-21.15
234,3.65625,-26.17
235,3.671875,-30.72
236,3.6875,-35.13
237,3.703125,-39.84
238,3.71875,-45.31
239,3.734375,-51.85
240,3.75,-59.45
241,3.765625,-67.63
242,3.78125,-75.44
243,3.796875,-81.5
244,3.8125,-84.41
245,3.828125,-83.11
246,3.84375,-77.26
247,3.859375,-67.4
248,3.875,-54.77
249,3.890625,-40.92
250,3.90625,-27.29
251,3.921875,-14.93
252,3.9375,-4.34
253,3.953125,4.4
254,3.96875,11.52
255,3.984375,17.39
256,4.0,22.35
257,4.015625,26.66
258,4.03125,30.49
259,4.046875,33.87
260,4.0625,36.81
261,4.078125,39.34
262,4.09375,41.44
263,4.109375,43.16
264,4.125,44.52
265,4.140625,45.56
266,4.15625,46.33
267,4.171875,46.92
268,4.1875,47.4
269,4.203125,47.8
270,4.21875,48.05
271,4.234375,47.95
272,4.25,47.31
273,4.265625,46.0
274,4.28125,44.07
275,4.296875,41.74
276,4.3125,39.22
277,4.328125,36.71
278,4.34375,34.25
279,4.359375,31.77
280,4.375,29.16
281,4.390625,26.35
282,4.40625,23.28
283,4.421875,19.99
284,4.4375,16.51
285,4.453125,12.86
286,4.46875,9.09
287,4.484375,5.2
288,4.5,1.16
289,4.515625,-3.13
290,4.53125,-7.75
291,4.546875,-12.77
292,4.5625,-18.13
293,4.578125,-23.63
294,4.59375,-28.96
295,4.609375,-33.89
296,4.625,-38.36
297,4.640625,-42.62
298,4.65625,-47.2
299,4.671875,-52.79
300,4.6875,-59.9
301,4.703125,-68.55
302,4.71875,-78.05
303,4.734375,-86.99
304,4.75,-93.56
305,4.765625,-96.08
306,4.78125,-93.52
307,4.796875,-85.9
308,4.8125,-74.21
