,secs,meas
0,0.0,0.12
1,0.015625,-0.14
2,0.03125,-0.57
3,0.046875,-0.78
4,0.0625,-0.5
5,0.078125,0.24
6,0.09375,1.1
7,0.109375,1.68
8,0.125,1.66
9,0.140625,1.06
10,0.15625,0.15
11,0.171875,-0.61
12,0.1875,-0.88
13,0.203125,-0.59
14,0.21875,0.02
15,0.234375,0.56
16,0.25,0.68
17,0.265625,0.32
18,0.28125,-0.29
19,0.296875,-0.71
20,0.3125,-0.6
21,0.328125,0.07
22,0.34375,1.0
23,0.359375,1.65
24,0.375,1.63
25,0.390625,0.89
26,0.40625,-0.2
27,0.421875,-1.06
28,0.4375,-1.25
29,0.453125,-0.77
30,0.46875,-0.0
31,0.484375,0.47
32,0.5,0.27
33,0.515625,-0.54
34,0.53125,-1.5
35,0.546875,-2.01
36,0.5625,-1.73
37,0.578125,-0.74
38,0.59375,0.46
39,0.609375,1.24
40,0.625,1.21
41,0.640625,0.41
42,0.65625,-0.68
43,0.671875,-1.46
44,0.6875,-1.5
45,0.703125,-0.81
46,0.71875,0.21
47,0.734375,0.98
48,0.75,1.11
49,0.765625,0.61
50,0.78125,-0.16
51,0.796875,-0.69
52,0.8125,-0.65
53,0.828125,-0.08
54,0.84375,0.65
55,0.859375,1.07
56,0.875,0.9
57,0.890625,0.24
58,0.90625,-0.54
59,0.921875,-1.01
60,0.9375,-0.9
61,0.953125,-0.31
62,0.96875,0.4
63,0.984375,0.81
64,1.0,0.69
65,1.015625,0.1
66,1.03125,-0.61
67,1.046875,-1.01
68,1.0625,-0.87
69,1.078125,-0.22
70,1.09375,0.62
71,1.109375,1.25
72,1.125,1.37
73,1.140625,0.99
74,1.15625,0.36
75,1.171875,-0.13
76,1.1875,-0.22
77,1.203125,0.12
78,1.21875,0.69
79,1.234375,1.14
80,1.25,1.21
81,1.265625,0.85
82,1.28125,0.22
83,1.296875,-0.37
84,1.3125,-0.68
85,1.328125,-0.62
86,1.34375,-0.34
87,1.359375,-0.09
88,1.375,-0.11
89,1.390625,-0.46
90,1.40625,-0.96
91,1.421875,-1.3
92,1.4375,-1.21
93,1.453125,-0.63
94,1.46875,0.24
95,1.484375,1.07
96,1.5,1.51
97,1.515625,1.45
98,1.53125,1.02
99,1.546875,0.56
100,1.5625,0.39
101,1.578125,0.68
102,1.59375,1.33
103,1.609375,2.02
104,1.625,2.4
105,1.640625,2.24
106,1.65625,1.58
107,1.671875,0.64
108,1.6875,-0.27
109,1.703125,-1.01
110,1.71875,-1.65
111,1.734375,-2.4
112,1.75,-3.38
113,1.765625,-4.48
114,1.78125,-5.27
115,1.796875,-5.3
116,1.8125,-4.32
117,1.828125,-2.55
118,1.84375,-0.6
119,1.859375,0.82
120,1.875,1.27
121,1.890625,0.78
122,1.90625,-0.12
123,1.921875,-0.8
124,1.9375,-0.82
125,1.953125,-0.19
126,1.96875,0.68
127,1.984375,1.3
128,2.0,1.38
129,2.015625,0.96
130,2.03125,0.39
131,2.046875,0.08
132,2.0625,0.29
133,2.078125,1.0
134,2.09375,1.88
135,2.109375,2.57
136,2.125,2.8
137,2.140625,2.54
138,2.15625,2.05
139,2.171875,1.63
140,2.1875,1.49
141,2.203125,1.59
142,2.21875,1.75
143,2.234375,1.74
144,2.25,1.46
145,2.265625,1.02
146,2.28125,0.66
147,2.296875,0.57
148,2.3125,0.76
149,2.328125,1.05
150,2.34375,1.09
151,2.359375,0.64
152,2.375,-0.32
153,2.390625,-1.55
154,2.40625,-2.63
155,2.421875,-3.15
156,2.4375,-2.95
157,2.453125,-2.12
158,2.46875,-1.08
159,2.484375,-0.29
160,2.5,-0.11
161,2.515625,-0.56
162,2.53125,-1.31
163,2.546875,-1.89
164,2.5625,-1.91
165,2.578125,-1.3
166,2.59375,-0.33
167,2.609375,0.56
168,2.625,0.99
169,2.640625,0.87
170,2.65625,0.43
171,2.671875,0.03
172,2.6875,0.02
173,2.703125,0.44
174,2.71875,1.07
175,2.734375,1.53
176,2.75,1.48
177,2.765625,0.87
178,2.78125,-0.08
179,2.796875,-0.9
180,2.8125,-1.17
181,2.828125,-0.73
182,2.84375,0.22
