,secs,meas
0,0.0,1.89
1,0.015625,2.97
2,0.03125,-0.43
3,0.046875,-4.79
4,0.0625,-5.58
5,0.078125,1.66
6,0.09375,20.02
7,0.109375,49.95
8,0.125,88.22
9,0.140625,127.62
10,0.15625,158.36
11,0.171875,170.81
12,0.1875,159.34
13,0.203125,125.38
14,0.21875,78.23
15,0.234375,32.57
16,0.25,3.12
17,0.265625,-1.32
18,0.28125,18.41
19,0.296875,52.53
20,0.3125,86.88
21,0.328125,109.69
22,0.34375,116.53
23,0.359375,110.95
24,0.375,101.24
25,0.390625,94.86
26,0.40625,94.41
27,0.421875,97.08
28,0.4375,97.71
29,0.453125,92.96
30,0.46875,83.91
31,0.484375,75.27
32,0.5,72.05
33,0.515625,76.17
34,0.53125,84.97
35,0.546875,92.6
36,0.5625,93.43
37,0.578125,85.09
38,0.59375,69.62
39,0.609375,52.26
40,0.625,38.72
41,0.640625,32.48
42,0.65625,33.62
43,0.671875,39.5
44,0.6875,46.58
45,0.703125,52.47
46,0.71875,56.79
47,0.734375,60.83
48,0.75,66.26
49,0.765625,73.75
50,0.78125,82.3
51,0.796875,89.79
52,0.8125,93.82
53,0.828125,92.93
54,0.84375,87.13
55,0.859375,77.67
56,0.875,66.38
57,0.890625,55.06
58,0.90625,44.88
59,0.921875,36.3
60,0.9375,29.31
61,0.953125,23.61
62,0.96875,18.84
63,0.984375,14.66
64,1.0,10.79
65,1.015625,7.21
66,1.03125,4.09
67,1.046875,1.72
68,1.0625,0.19
69,1.078125,-0.76
70,1.09375,-1.85
71,1.109375,-3.86
72,1.125,-7.26
73,1.140625,-12.0
74,1.15625,-17.41
75,1.171875,-22.49
76,1.1875,-26.23
77,1.203125,-28.0
78,1.21875,-27.75
79,1.234375,-26.04
80,1.25,-23.99
81,1.265625,-22.94
82,1.28125,-24.11
83,1.296875,-28.18
84,1.3125,-35.02
85,1.328125,-43.64
86,1.34375,-52.51
87,1.359375,-59.92
88,1.375,-64.67
89,1.390625,-66.05
90,1.40625,-64.03
91,1.421875,-59.06
92,1.4375,-51.97
93,1.453125,-43.89
94,1.46875,-36.07
95,1.484375,-29.61
96,1.5,-25.19
97,1.515625,-22.73
98,1.53125,-21.51
99,1.546875,-20.41
100,1.5625,-18.43
101,1.578125,-14.91
102,1.59375,-9.71
103,1.609375,-3.16
104,1.625,4.25
105,1.640625,11.89
106,1.65625,19.17
107,1.671875,25.48
108,1.6875,30.33
109,1.703125,33.3
110,1.71875,34.08
111,1.734375,32.54
112,1.75,28.82
113,1.765625,23.45
114,1.78125,17.32
115,1.796875,11.4
116,1.8125,6.29
117,1.828125,1.84
