,secs,meas
0,0.0,0.28
1,0.015625,7.89
2,0.03125,13.97
3,0.046875,17.42
4,0.0625,17.59
5,0.078125,14.5
6,0.09375,8.64
7,0.109375,0.93
8,0.125,-7.52
9,0.140625,-15.62
10,0.15625,-22.43
11,0.171875,-27.32
12,0.1875,-29.94
13,0.203125,-30.18
14,0.21875,-28.14
15,0.234375,-24.12
16,0.25,-18.61
17,0.265625,-12.26
18,0.28125,-5.8
19,0.296875,0.16
20,0.3125,5.21
21,0.328125,9.13
22,0.34375,11.81
23,0.359375,13.12
24,0.375,12.86
25,0.390625,10.78
26,0.40625,6.82
27,0.421875,1.17
28,0.4375,-5.7
29,0.453125,-13.17
30,0.46875,-20.63
31,0.484375,-27.62
32,0.5,-33.83
33,0.515625,-39.02
34,0.53125,-42.95
35,0.546875,-45.39
36,0.5625,-46.27
37,0.578125,-45.68
38,0.59375,-43.93
39,0.609375,-41.37
40,0.625,-38.29
41,0.640625,-34.93
42,0.65625,-31.5
43,0.671875,-28.33
44,0.6875,-25.9
45,0.703125,-24.73
46,0.71875,-25.15
47,0.734375,-27.14
48,0.75,-30.25
49,0.765625,-33.6
50,0.78125,-36.24
51,0.796875,-37.3
52,0.8125,-36.33
53,0.828125,-33.43
54,0.84375,-29.14
55,0.859375,-24.3
56,0.875,-19.73
57,0.890625,-16.02
58,0.90625,-13.36
59,0.921875,-11.64
60,0.9375,-10.6
61,0.953125,-9.95
62,0.96875,-9.57
63,0.984375,-9.4
64,1.0,-9.44
65,1.015625,-9.64
66,1.03125,-9.82
67,1.046875,-9.69
68,1.0625,-8.97
69,1.078125,-7.46
70,1.09375,-5.08
71,1.109375,-1.98
72,1.125,1.56
73,1.140625,5.19
74,1.15625,8.65
75,1.171875,11.77
76,1.1875,14.62
77,1.203125,17.37
78,1.21875,20.19
79,1.234375,23.2
80,1.25,26.33
81,1.265625,29.41
82,1.28125,32.15
83,1.296875,34.28
84,1.3125,35.55
85,1.328125,35.83
86,1.34375,35.04
87,1.359375,33.13
88,1.375,30.12
89,1.390625,26.06
90,1.40625,21.11
91,1.421875,15.46
92,1.4375,9.4
93,1.453125,3.2
94,1.46875,-2.91
95,1.484375,-8.75
96,1.5,-14.17
97,1.515625,-19.07
98,1.53125,-23.32
99,1.546875,-26.86
100,1.5625,-29.63
101,1.578125,-31.72
102,1.59375,-33.28
103,1.609375,-34.51
104,1.625,-35.56
105,1.640625,-36.44
106,1.65625,-37.04
107,1.671875,-37.22
108,1.6875,-36.88
109,1.703125,-36.0
110,1.71875,-34.58
111,1.734375,-32.57
112,1.75,-29.83
113,1.765625,-26.19
114,1.78125,-21.63
115,1.796875,-16.35
116,1.8125,-10.88
117,1.828125,-5.82
118,1.84375,-1.69
119,1.859375,1.31
120,1.875,3.36
121,1.890625,4.9
122,1.90625,6.39
123,1.921875,8.08
124,1.9375,9.95
125,1.953125,11.78
126,1.96875,13.28
127,1.984375,14.27
128,2.0,14.72
129,2.015625,14.72
130,2.03125,14.45
131,2.046875,14.07
132,2.0625,13.64
133,2.078125,13.11
134,2.09375,12.35
135,2.109375,11.12
136,2.125,9.21
137,2.140625,6.52
138,2.15625,3.2
139,2.171875,-0.35
140,2.1875,-3.52
141,2.203125,-5.7
142,2.21875,-6.47
143,2.234375,-5.79
144,2.25,-4.0
145,2.265625,-1.68
146,2.28125,0.51
147,2.296875,2.09
148,2.3125,2.83
149,2.328125,2.8
150,2.34375,2.26
151,2.359375,1.51
152,2.375,0.82
153,2.390625,0.3
154,2.40625,-0.01
155,2.421875,-0.21
156,2.4375,-0.41
157,2.453125,-0.76
158,2.46875,-1.38
159,2.484375,-2.34
160,2.5,-3.58
161,2.515625,-4.96
162,2.53125,-6.2
163,2.546875,-6.99
164,2.5625,-7.09
165,2.578125,-6.43
166,2.59375,-5.19
167,2.609375,-3.69
168,2.625,-2.4
169,2.640625,-1.78
170,2.65625,-2.22
171,2.671875,-3.93
172,2.6875,-6.87
173,2.703125,-10.69
174,2.71875,-14.68
175,2.734375,-17.95
176,2.75,-19.59
177,2.765625,-19.01
178,2.78125,-16.1
179,2.796875,-11.36
180,2.8125,-5.62
181,2.828125,0.21
182,2.84375,5.46
183,2.859375,9.81
184,2.875,13.24
185,2.890625,15.94
186,2.90625,18.18
187,2.921875,20.19
188,2.9375,22.17
189,2.953125,24.17
190,2.96875,26.06
191,2.984375,27.36
192,3.0,27.35
193,3.015625,25.19
194,3.03125,20.28
195,3.046875,12.65
196,3.0625,3.11
197,3.078125,-6.82
198,3.09375,-15.34
199,3.109375,-20.9
200,3.125,-22.69
201,3.140625,-20.84
202,3.15625,-16.25
203,3.171875,-10.18
204,3.1875,-3.83
205,3.203125,1.93
206,3.21875,6.59
207,3.234375,9.82
208,3.25,11.38
209,3.265625,11.18
210,3.28125,9.35
211,3.296875,6.43
212,3.3125,3.31
213,3.328125,0.93
214,3.34375,-0.01
215,3.359375,0.67
216,3.375,2.64
217,3.390625,5.26
218,3.40625,7.98
219,3.421875,10.43
220,3.4375,12.59
221,3.453125,14.56
222,3.46875,16.42
223,3.484375,18.18
224,3.5,19.72
225,3.515625,20.97
226,3.53125,21.95
227,3.546875,22.76
228,3.5625,23.59
229,3.578125,24.63
230,3.59375,25.97
231,3.609375,27.53
232,3.625,29.09
233,3.640625,30.35
234,3.65625,30.98
235,3.671875,30.81
236,3.6875,29.8
237,3.703125,28.13
238,3.71875,26.11
239,3.734375,24.04
240,3.75,22.1
241,3.765625,20.25
242,3.78125,18.26
243,3.796875,15.83
244,3.8125,12.72
245,3.828125,8.96
246,3.84375,4.81
247,3.859375,0.68
248,3.875,-3.03
249,3.890625,-6.06
250,3.90625,-8.43
251,3.921875,-10.26
252,3.9375,-11.72
253,3.953125,-12.89
254,3.96875,-13.7
255,3.984375,-14.06
256,4.0,-13.88
257,4.015625,-13.2
258,4.03125,-12.14
259,4.046875,-10.8
260,4.0625,-9.23
261,4.078125,-7.31
262,4.09375,-4.84
263,4.109375,-1.72
264,4.125,1.97
265,4.140625,5.9
266,4.15625,9.57
267,4.171875,12.51
268,4.1875,14.47
269,4.203125,15.61
270,4.21875,16.33
271,4.234375,17.19
272,4.25,18.58
273,4.265625,20.66
274,4.28125,23.26
275,4.296875,26.06
276,4.3125,28.7
277,4.328125,30.97
278,4.34375,32.84
279,4.359375,34.47
280,4.375,36.17
281,4.390625,38.31
282,4.40625,41.29
283,4.421875,45.44
284,4.4375,50.9
285,4.453125,57.51
286,4.46875,64.68
287,4.484375,71.42
288,4.5,76.52
289,4.515625,78.8
290,4.53125,77.43
291,4.546875,72.19
292,4.5625,63.47
293,4.578125,52.14
294,4.59375,39.13
295,4.609375,25.12
296,4.625,10.45
297,4.640625,-4.79
298,4.65625,-20.34
299,4.671875,-35.58
300,4.6875,-49.56
301,4.703125,-61.23
302,4.71875,-69.84
303,4.734375,-75.14
304,4.75,-77.35
305,4.765625,-76.92
306,4.78125,-74.34
307,4.796875,-70.08
308,4.8125,-64.67
309,4.828125,-58.77
310,4.84375,-53.11
311,4.859375,-48.25
312,4.875,-44.39
313,4.890625,-41.32
314,4.90625,-38.7
315,4.921875,-36.32
316,4.9375,-34.28
317,4.953125,-32.87
318,4.96875,-32.32
319,4.984375,-32.47
320,5.0,-32.84
321,5.015625,-32.75
322,5.03125,-31.76
323,5.046875,-29.87
324,5.0625,-27.45
325,5.078125,-25.06
326,5.09375,-23.07
327,5.109375,-21.47
328,5.125,-19.85
329,5.140625,-17.54
330,5.15625,-13.97
331,5.171875,-8.77
332,5.1875,-1.98
333,5.203125,6.1
334,5.21875,14.99
335,5.234375,24.21
336,5.25,33.33
337,5.265625,41.96
338,5.28125,49.73
339,5.296875,56.25
340,5.3125,61.18
341,5.328125,64.32
342,5.34375,65.65
343,5.359375,65.34
344,5.375,63.62
345,5.390625,60.66
346,5.40625,56.47
347,5.421875,50.91
348,5.4375,43.82
349,5.453125,35.18
350,5.46875,25.31
351,5.484375,14.84
352,5.5,4.66
353,5.515625,-4.3
354,5.53125,-11.32
355,5.546875,-16.13
356,5.5625,-18.89
357,5.578125,-20.12
358,5.59375,-20.42
359,5.609375,-20.3
360,5.625,-20.05
361,5.640625,-19.79
362,5.65625,-19.5
363,5.671875,-19.22
364,5.6875,-19.07
365,5.703125,-19.2
366,5.71875,-19.8
367,5.734375,-20.95
368,5.75,-22.62
369,5.765625,-24.57
370,5.78125,-26.48
371,5.796875,-28.08
372,5.8125,-29.27
373,5.828125,-30.28
374,5.84375,-31.54
375,5.859375,-33.52
376,5.875,-36.37
377,5.890625,-39.69
378,5.90625,-42.61
379,5.921875,-43.95
380,5.9375,-42.72
381,5.953125,-38.47
382,5.96875,-31.55
383,5.984375,-22.91
384,6.0,-13.97
385,6.015625,-6.22
386,6.03125,-0.96
387,6.046875,0.88
388,6.0625,-0.97
389,6.078125,-5.88
390,6.09375,-12.15
391,6.109375,-17.13
392,6.125,-17.89
393,6.140625,-12.49
394,6.15625,-0.97
395,6.171875,14.17
396,6.1875,28.55
397,6.203125,37.49
398,6.21875,37.69
399,6.234375,28.11
400,6.25,9.72
401,6.265625,-15.43
402,6.28125,-45.19
403,6.296875,-77.49
404,6.3125,-109.97
405,6.328125,-139.35
406,6.34375,-161.45
407,6.359375,-172.01
408,6.375,-168.04
409,6.390625,-148.71
410,6.40625,-115.68
411,6.421875,-72.53
412,6.4375,-23.83
413,6.453125,25.63
414,6.46875,71.35
415,6.484375,109.49
416,6.5,137.3
417,6.515625,153.57
418,6.53125,158.83
419,6.546875,155.17
420,6.5625,145.51
421,6.578125,132.71
422,6.59375,118.93
423,6.609375,105.38
424,6.625,92.6
425,6.640625,80.69
426,6.65625,69.62
427,6.671875,59.39
428,6.6875,49.91
429,6.703125,41.06
430,6.71875,32.81
431,6.734375,25.33
432,6.75,18.94
433,6.765625,14.02
434,6.78125,10.84
435,6.796875,9.29
436,6.8125,8.94
437,6.828125,9.18
438,6.84375,9.64
439,6.859375,10.44
440,6.875,12.22
441,6.890625,15.76
442,6.90625,21.42
443,6.921875,28.61
444,6.9375,35.74
445,6.953125,40.74
446,6.96875,41.85
447,6.984375,38.25
448,7.0,30.3
449,7.015625,19.23
450,7.03125,6.62
451,7.046875,-6.01
452,7.0625,-17.28
453,7.078125,-25.83
454,7.09375,-30.32
455,7.109375,-29.72
456,7.125,-23.68
457,7.140625,-12.87
458,7.15625,1.2
459,7.171875,16.71
460,7.1875,32.14
461,7.203125,46.61
462,7.21875,59.72
463,7.234375,71.35
464,7.25,81.4
465,7.265625,89.83
466,7.28125,96.87
