,secs,meas
0,0.0,-19.06
1,0.015625,-13.64
2,0.03125,-7.28
3,0.046875,-0.85
4,0.0625,4.86
5,0.078125,9.34
6,0.09375,12.44
7,0.109375,14.31
8,0.125,15.29
9,0.140625,15.72
10,0.15625,15.82
11,0.171875,15.62
12,0.1875,15.06
13,0.203125,14.05
14,0.21875,12.57
15,0.234375,10.68
16,0.25,8.58
17,0.265625,6.41
18,0.28125,4.27
19,0.296875,2.17
20,0.3125,0.08
21,0.328125,-1.98
22,0.34375,-3.98
23,0.359375,-5.88
24,0.375,-7.71
25,0.390625,-9.66
26,0.40625,-11.9
27,0.421875,-14.48
28,0.4375,-17.18
29,0.453125,-19.39
30,0.46875,-20.4
31,0.484375,-19.58
32,0.5,-16.77
33,0.515625,-12.27
34,0.53125,-6.83
35,0.546875,-1.27
36,0.5625,3.72
37,0.578125,7.81
38,0.59375,10.98
39,0.609375,13.35
40,0.625,15.08
41,0.640625,16.22
42,0.65625,16.75
43,0.671875,16.59
44,0.6875,15.7
45,0.703125,14.14
46,0.71875,12.04
47,0.734375,9.65
48,0.75,7.2
49,0.765625,4.9
50,0.78125,2.83
51,0.796875,0.9
52,0.8125,-1.03
53,0.828125,-3.17
54,0.84375,-5.63
55,0.859375,-8.42
56,0.875,-11.42
57,0.890625,-14.44
58,0.90625,-17.17
59,0.921875,-19.22
60,0.9375,-20.17
61,0.953125,-19.68
62,0.96875,-17.6
63,0.984375,-14.07
64,1.0,-9.51
65,1.015625,-4.49
66,1.03125,0.43
67,1.046875,4.82
68,1.0625,8.47
69,1.078125,11.31
70,1.09375,13.33
71,1.109375,14.55
72,1.125,14.97
73,1.140625,14.61
74,1.15625,13.52
75,1.171875,11.81
76,1.1875,9.66
77,1.203125,7.24
78,1.21875,4.78
79,1.234375,2.44
80,1.25,0.32
81,1.265625,-1.61
82,1.28125,-3.49
83,1.296875,-5.57
84,1.3125,-8.09
85,1.328125,-11.17
86,1.34375,-14.74
87,1.359375,-18.46
88,1.375,-21.74
89,1.390625,-23.88
90,1.40625,-24.29
91,1.421875,-22.68
92,1.4375,-19.16
93,1.453125,-14.25
94,1.46875,-8.65
95,1.484375,-3.02
96,1.5,2.17
97,1.515625,6.65
98,1.53125,10.36
99,1.546875,13.25
100,1.5625,15.26
101,1.578125,16.35
102,1.59375,16.54
103,1.609375,15.94
104,1.625,14.73
105,1.640625,13.06
106,1.65625,11.04
107,1.671875,8.69
108,1.6875,6.07
109,1.703125,3.25
110,1.71875,0.41
111,1.734375,-2.25
112,1.75,-4.63
113,1.765625,-6.75
114,1.78125,-8.83
115,1.796875,-11.17
116,1.8125,-14.03
117,1.828125,-17.4
118,1.84375,-20.99
119,1.859375,-24.17
120,1.875,-26.2
121,1.890625,-26.46
122,1.90625,-24.6
123,1.921875,-20.75
124,1.9375,-15.38
125,1.953125,-9.19
126,1.96875,-2.89
127,1.984375,2.97
128,2.0,8.06
129,2.015625,12.2
130,2.03125,15.31
131,2.046875,17.35
132,2.0625,18.31
133,2.078125,18.2
134,2.09375,17.18
135,2.109375,15.45
136,2.125,13.26
137,2.140625,10.84
138,2.15625,8.37
139,2.171875,5.97
140,2.1875,3.68
141,2.203125,1.54
142,2.21875,-0.5
143,2.234375,-2.51
144,2.25,-4.63
145,2.265625,-7.09
146,2.28125,-10.04
147,2.296875,-13.46
148,2.3125,-17.05
149,2.328125,-20.26
150,2.34375,-22.37
151,2.359375,-22.76
152,2.375,-21.11
153,2.390625,-17.52
154,2.40625,-12.44
155,2.421875,-6.55
156,2.4375,-0.53
157,2.453125,5.08
158,2.46875,9.93
159,2.484375,13.85
160,2.5,16.78
161,2.515625,18.67
162,2.53125,19.49
163,2.546875,19.28
164,2.5625,18.17
165,2.578125,16.37
166,2.59375,14.15
167,2.609375,11.79
168,2.625,9.47
169,2.640625,7.31
170,2.65625,5.29
171,2.671875,3.35
172,2.6875,1.39
173,2.703125,-0.66
174,2.71875,-2.9
175,2.734375,-5.4
176,2.75,-8.24
177,2.765625,-11.41
178,2.78125,-14.74
179,2.796875,-17.87
180,2.8125,-20.22
181,2.828125,-21.17
182,2.84375,-20.2
183,2.859375,-17.11
184,2.875,-12.12
185,2.890625,-5.85
186,2.90625,0.86
187,2.921875,7.17
188,2.9375,12.43
189,2.953125,16.35
190,2.96875,18.95
191,2.984375,20.43
192,3.0,21.04
193,3.015625,20.96
194,3.03125,20.28
195,3.046875,19.01
196,3.0625,17.19
197,3.078125,14.93
198,3.09375,12.44
199,3.109375,9.94
200,3.125,7.62
201,3.140625,5.58
202,3.15625,3.77
203,3.171875,2.04
204,3.1875,0.21
205,3.203125,-1.9
206,3.21875,-4.36
207,3.234375,-7.18
208,3.25,-10.24
209,3.265625,-13.27
210,3.28125,-15.88
211,3.296875,-17.55
212,3.3125,-17.73
213,3.328125,-16.03
214,3.34375,-12.4
215,3.359375,-7.19
216,3.375,-1.12
217,3.390625,4.95
218,3.40625,10.29
219,3.421875,14.47
220,3.4375,17.44
221,3.453125,19.34
222,3.46875,20.41
223,3.484375,20.78
224,3.5,20.49
225,3.515625,19.5
226,3.53125,17.82
227,3.546875,15.55
228,3.5625,12.9
229,3.578125,10.12
230,3.59375,7.43
231,3.609375,5.0
232,3.625,2.87
233,3.640625,1.01
234,3.65625,-0.74
235,3.671875,-2.6
236,3.6875,-4.82
237,3.703125,-7.56
238,3.71875,-10.76
239,3.734375,-14.11
240,3.75,-16.99
241,3.765625,-18.72
242,3.78125,-18.7
243,3.796875,-16.72
244,3.8125,-12.97
245,3.828125,-8.0
246,3.84375,-2.53
247,3.859375,2.82
248,3.875,7.59
249,3.890625,11.59
250,3.90625,14.74
251,3.921875,16.97
252,3.9375,18.25
253,3.953125,18.54
254,3.96875,17.89
255,3.984375,16.45
256,4.0,14.47
257,4.015625,12.23
258,4.03125,9.93
259,4.046875,7.7
260,4.0625,5.53
261,4.078125,3.38
262,4.09375,1.22
263,4.109375,-0.96
264,4.125,-3.16
265,4.140625,-5.42
266,4.15625,-7.84
267,4.171875,-10.45
268,4.1875,-13.15
269,4.203125,-15.56
270,4.21875,-17.1
271,4.234375,-17.14
272,4.25,-15.27
273,4.265625,-11.57
274,4.28125,-6.56
275,4.296875,-1.09
276,4.3125,4.04
277,4.328125,8.31
278,4.34375,11.58
279,4.359375,14.01
280,4.375,15.81
281,4.390625,17.09
282,4.40625,17.8
283,4.421875,17.8
284,4.4375,17.02
285,4.453125,15.55
286,4.46875,13.6
287,4.484375,11.44
288,4.5,9.29
289,4.515625,7.25
290,4.53125,5.31
291,4.546875,3.4
292,4.5625,1.46
293,4.578125,-0.54
294,4.59375,-2.64
295,4.609375,-4.9
296,4.625,-7.4
297,4.640625,-10.15
298,4.65625,-13.02
299,4.671875,-15.65
300,4.6875,-17.5
301,4.703125,-18.03
302,4.71875,-16.88
303,4.734375,-14.01
304,4.75,-9.76
305,4.765625,-4.73
306,4.78125,0.41
307,4.796875,5.12
308,4.8125,9.07
309,4.828125,12.15
310,4.84375,14.38
311,4.859375,15.82
312,4.875,16.49
313,4.890625,16.4
314,4.90625,15.56
315,4.921875,14.06
316,4.9375,12.11
317,4.953125,9.94
318,4.96875,7.81
319,4.984375,5.85
320,5.0,4.09
321,5.015625,2.44
322,5.03125,0.75
323,5.046875,-1.07
324,5.0625,-3.05
325,5.078125,-5.12
326,5.09375,-7.21
327,5.109375,-9.31
328,5.125,-11.47
329,5.140625,-13.75
330,5.15625,-16.09
331,5.171875,-18.21
332,5.1875,-19.58
